,小型車日間(元/時或次）,小型車夜間(元/時),小型車假日與特殊日(元/時）,小型車月租(元/月),機車單次(元/時或次),機車月租(元/月),大型重型機車月租(元/月)
619,60.00 ,,80.00 ,10000.00 ,,,
620,20.00 ,,,4500.00 ,20.00 ,600.00 ,
621,50.00 ,,,6000.00 ,20.00 ,,
622,,,,4500.00 ,,,
623,20.00 ,,,7200.00 ,,,
624,100.00 ,,,12000.00 ,,,
625,,,,1500.00 ,,,
626,180.00 ,,,8000.00 ,,,
627,100.00 ,,,6000.00 ,50.00 ,500.00 ,
628,80.00 ,,,8000.00 ,,,
629,,,,1500.00 ,,,
630,200.00 ,,,10000.00 ,,,
631,20.00 ,,,4800.00 ,,,
632,150.00 ,,,5000.00 ,50.00 ,,
633,100.00 ,,,10000.00 ,,,
634,80.00 ,,,8000.00 ,,,
635,,,,6000.00 ,,,
636,50.00 ,,,,,,
637,50.00 ,,,2500.00 ,,,
638,40.00 ,30.00 ,60.00 ,7200.00 ,,,3600.00 
639,30.00 ,,50.00 ,4300.00 ,,,
640,100.00 ,,,8000.00 ,,,
641,,,,6500.00 ,,,
642,,,,5500.00 ,,,
