antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'totalmotor=0.0'}),"frozenset({'type2=2.0', 'Pregnancy_First=0.0'})",0.7281475541299118,0.42742582197273454,0.38933440256615875,0.5346916299559471,1.2509577158631633,1.0,0.07810533572474498,1.2305262808254605,0.737946161394299,0.5081109366823652,0.18733958341045664,0.7227867155408253
frozenset({'Pregnancy_First=0.0'}),"frozenset({'totalmotor=0.0', 'type2=2.0'})",0.6631916599839615,0.4290296712109062,0.38933440256615875,0.5870616686819831,1.3683474782176315,1.0,0.1048055027334247,1.3827012061744672,0.7992423127850522,0.553907586993725,0.27677795062701244,0.7472691520980008
frozenset({'Pregnancy_First=0.0'}),"frozenset({'type=0.0', 'type2=2.0'})",0.6631916599839615,0.19807538091419408,0.14554931836407378,0.21946795646916567,1.1080021931864354,1.0,0.014187377693633929,1.0274076839410713,0.28940705758887575,0.20336134453781515,0.026676541717049577,0.47714288511717395
"frozenset({'type=1.0', 'Pregnancy_First=0.0'})",frozenset({'type2=2.0'}),0.36327185244587007,0.5,0.2818765036086608,0.7759381898454747,1.5518763796909494,1.0,0.10024057738572575,2.23152709359606,0.5585095900620228,0.48482758620689664,0.5518763796909494,0.6698455985313981
frozenset({'type=1.0'}),"frozenset({'type2=2.0', 'Pregnancy_First=0.0'})",0.3917401764234162,0.42742582197273454,0.2818765036086608,0.7195496417604913,1.6834491618674159,1.0,0.11443663670113807,2.041623985155615,0.6674474495312022,0.5246268656716417,0.5101938421223146,0.6895121567151425
frozenset({'Pregnancy_First=0.0'}),"frozenset({'type=1.0', 'type2=2.0'})",0.6631916599839615,0.3019246190858059,0.2818765036086608,0.4250302297460702,1.407736245666267,1.0,0.08164261428711991,1.214107970591038,0.8599539389013076,0.41255868544600943,0.17635002469080935,0.6793145836645358
frozenset({'type=0.0'}),"frozenset({'Pregnancy_First=1.0', 'type2=2.0'})",0.6082598235765838,0.07257417802726544,0.05252606255012029,0.08635464733025708,1.1898811626611112,1.0,0.008382105827040222,1.015082952332351,0.40736168517114985,0.08359923420548819,0.014858837199161755,0.40505577670380255
"frozenset({'farecar_night=0.0', 'farecar_haliday=0.0'})",frozenset({'type2=2.0'}),0.830793905372895,0.5,0.46912590216519645,0.5646718146718146,1.1293436293436292,1.0,0.053728949478748955,1.1485587583148558,0.6768663669137599,0.5444392740809678,0.1293436293436292,0.7514618095011038
"frozenset({'farecar_haliday=0.0', 'farecar_weekday=0.0'})",frozenset({'type2=2.0'}),0.09663191659983962,0.5,0.05974338412189254,0.6182572614107883,1.2365145228215766,1.0,0.011427425821972731,1.3097826086956519,0.21173558298108108,0.11127707244212098,0.2365145228215766,0.3688720148272867
frozenset({'farecar_haliday=0.0'}),"frozenset({'farecar_weekday=0.0', 'type2=2.0'})",0.9077786688051324,0.05974338412189254,0.05974338412189254,0.06581272084805653,1.1015901060070672,1.0,0.005509614413807248,1.0064969164766124,1.0,0.06581272084805653,0.0064549790170801685,0.5329063604240283
frozenset({'farecar_weekday=0.0'}),"frozenset({'farecar_haliday=0.0', 'type2=2.0'})",0.09663191659983962,0.4843624699278268,0.05974338412189254,0.6182572614107883,1.2764351075815448,1.0,0.012938510323734456,1.3507461385586272,0.23973404588066013,0.11461538461538459,0.259668436981731,0.37080081613585775
